epoch	dropout	ppl
1	0.3	516.3402155014986
2	0.3	205.72048103102
3	0.3	160.62315579008953
4	0.3	134.4489801430887
5	0.3	117.87823056653369
6	0.3	107.0775035099663
7	0.3	97.8427391679312
8	0.3	89.55188578643215
9	0.3	82.98413853077507
10	0.3	77.55347645428029
11	0.3	63.48140841941895
12	0.3	59.59309794459153
13	0.3	56.090347661429334
14	0.3	54.96840318050854
15	0.3	53.82581363952139
16	0.3	53.57116294898803
17	0.3	53.36018707747009
18	0.3	53.17544427051667
19	0.3	52.84883985914178
20	0.3	52.926371440155485
